72.13.62.25 22:22:28 01.02.2022 /bad_bot/black_list.php  Mozilla/5.0 (compatible; ips-agent)
54.36.149.6 15:51:16 04.02.2022 /bad_bot/black_list.php  Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)
5.45.207.142 10:56:54 13.02.2022 /bad_bot/black_list.php  Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)
5.45.207.111 12:08:10 13.02.2022 /bad_bot/black_list.php  Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)
54.36.148.155 05:30:31 20.02.2022 /bad_bot/black_list.php  Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)
212.115.42.249 07:28:51 22.02.2022 /bad_bot/black_list.php https://septsluzhba.ru/ Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.84 Safari/537.36
95.108.213.62 14:02:14 22.02.2022 /bad_bot/black_list.php  Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)
95.108.213.15 09:35:52 25.02.2022 /bad_bot/black_list.php  Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)
87.250.224.115 07:45:36 28.02.2022 /bad_bot/black_list.php  Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)
158.255.3.138 08:49:37 09.03.2022 /bad_bot/black_list.php http://www.google.ru Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36
212.193.117.245 06:41:32 12.03.2022 /bad_bot/black_list.php  Mozilla/5.0 (compatible; statdom.ru/Bot; +http://statdom.ru/bot.html)
20.228.228.23 21:31:14 13.03.2022 /bad_bot/black_list.php https://septsluzhba.ru/ Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.66 Safari/537.36
192.99.18.108 07:31:33 01.04.2022 /bad_bot/black_list.php https://www.google.com Mozilla/5.0 (iPhone; CPU iPhone OS 12_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/77.0.3865.93 Mobile/15E148 Safari/605.1
